folder,file,fullpath
"2009 - A Higher Place","Born Of Osiris - A Higher Place.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/Born Of Osiris - A Higher Place.flac"
"tracks","01 - Rebirth.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/01 - Rebirth.flac"
"tracks","02 - Elimination.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/02 - Elimination.flac"
"tracks","03 - The Accountable.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/03 - The Accountable.flac"
"tracks","04 - Now Arise.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/04 - Now Arise.flac"
"tracks","05 - Live Like I'm Real.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/05 - Live Like I'm Real.flac"
"tracks","06 - Starved.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/06 - Starved.flac"
"tracks","07 - Exist.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/07 - Exist.flac"
"tracks","08 - Put To Rest.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/08 - Put To Rest.flac"
"tracks","09 - A Descent.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/09 - A Descent.flac"
"tracks","10 - A Higher Place.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/10 - A Higher Place.flac"
"tracks","11 - An Ascent.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/11 - An Ascent.flac"
"tracks","12 - Thrive.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/12 - Thrive.flac"
"tracks","13 - Faces Of Death.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/13 - Faces Of Death.flac"
"2013 - Tomorrow We Die ∆live","Born of Osiris - Tomorrow We Die ∆live.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/Born of Osiris - Tomorrow We Die ∆live.flac"
"tracks","01 - M∆chine.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/01 - M∆chine.flac"
"tracks","02 - Divergency.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/02 - Divergency.flac"
"tracks","03 - Mindful.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/03 - Mindful.flac"
"tracks","04 - Exhil∆r∆te.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/04 - Exhil∆r∆te.flac"
"tracks","05 - ∆bsolution.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/05 - ∆bsolution.flac"
"tracks","06 - The Origin.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/06 - The Origin.flac"
"tracks","07 - ∆eon III.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/07 - ∆eon III.flac"
"tracks","08 - Im∆gin∆ry Condition.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/08 - Im∆gin∆ry Condition.flac"
"tracks","09 - Illusionist.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/09 - Illusionist.flac"
"tracks","10 - Source Field.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/10 - Source Field.flac"
"tracks","11 - Venge∆nce.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/11 - Venge∆nce.flac"
"Born of Osiris - Soul Sphere (2015)","01 - The Other Half of Me.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/01 - The Other Half of Me.flac"
"Born of Osiris - Soul Sphere (2015)","02 - Throw Me in the Jungle.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/02 - Throw Me in the Jungle.flac"
"Born of Osiris - Soul Sphere (2015)","03 - Free Fall.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/03 - Free Fall.flac"
"Born of Osiris - Soul Sphere (2015)","04 - Illuminate.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/04 - Illuminate.flac"
"Born of Osiris - Soul Sphere (2015)","05 - The Sleeping and the Dead.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/05 - The Sleeping and the Dead.flac"
"Born of Osiris - Soul Sphere (2015)","06 - Tidebinder.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/06 - Tidebinder.flac"
"Born of Osiris - Soul Sphere (2015)","07 - Resilience.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/07 - Resilience.flac"
"Born of Osiris - Soul Sphere (2015)","08 - Goddess of the Dawn.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/08 - Goddess of the Dawn.flac"
