album,track,year,flac,gp,tuning,match,notes,flac_sha256
2009 - A Higher Place,01 - Rebirth,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\01 - Rebirth.flac,,drop_g_7,unknown,,c32b0607ceae1e1b98daf6df9fb2d4048c48e7a7b22b4def43caf1c48cf8b2e7
2009 - A Higher Place,02 - Elimination,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\02 - Elimination.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\02 Elimination.gp5,drop_g_7,yes,,2c09500a54790425492e61ffb6fb5dffe1c27813d7b3b242f63ef1812d16e82c
2009 - A Higher Place,03 - The Accountable,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\03 - The Accountable.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\03 The Accountable.gp5,drop_g_7,yes,,beb1382e9f4ab07ac6118b1a2b4d3916cb7edf185b98ee34dc7cc0a61a4b4a78
2009 - A Higher Place,04 - Now Arise,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\04 - Now Arise.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\04 Now Arise.gp5,drop_g_7,yes,,029cdca7b1e0c55c47d25db4d9f43f475f6df9b8825e57072b82b018dc1632b7
2009 - A Higher Place,05 - Live Like I'm Real,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\05 - Live Like I'm Real.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\05 Live Like I'm Real.gp5,drop_g_7,yes,,d44f29dd15b2008afaab45d459527f1d2bb9a660e3991d8cff9916777e775f76
2009 - A Higher Place,06 - Starved,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\06 - Starved.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\06 Starved.gp5,drop_g_7,yes,,b25b39850dacd1b42bd96451fb4d2a5eb3525651b98a43356d756fe1533271a7
2009 - A Higher Place,07 - Exist,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\07 - Exist.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\07 Exist.gp5,drop_g_7,yes,,fe5e4e4f63b29f3451f5b4b392e5055b97e2e54e863fb5a40f2a4f3f9909bbff
2009 - A Higher Place,08 - Put To Rest,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\08 - Put To Rest.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\08 Put to Rest.gp5,drop_g_7,yes,,6107099a1f44e7f81b6b9253a44868998a1d6b2e539bc8a7f33da3c8f2a8df26
2009 - A Higher Place,09 - A Descent,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\09 - A Descent.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\09 A Descent.gp5,drop_g_7,yes,,71e679446c6bd34e095ca3797231c6b834a7ef18e97fb3785a93f510a9dd8789
2009 - A Higher Place,10 - A Higher Place,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\10 - A Higher Place.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\10 A Higher Place.gp5,drop_g_7,yes,,e5d0cf15ec99050362ee4fa53a507b72cb3d24625ffd6ddc9aaa10234398c9f8
2009 - A Higher Place,11 - An Ascent,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\11 - An Ascent.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\11 An Ascent.gp5,drop_g_7,yes,,678681654e471990c512b5439cd455ec5ebfd58132e05f635dc87eb23776cf6e
2009 - A Higher Place,12 - Thrive,,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\audio-corpus\born_of_osiris\2009 - A Higher Place\tracks\12 - Thrive.flac,C:\Users\RIGGUSPIG\Desktop\god-tier-metal\reference\gp-tabs\gp5\A Higher Place\12 Thrive.gp5,drop_g_7,yes,,4e57879793eda09889a1db5c0401b66ec4594a34e03a98befa91f8c516bbff1c
